Date,JUN_Rice,JUL_Rice,AUG_Rice,SEP_Rice,OCT_Rice,Urban,Water,non-rice
June-1_FN,172.671,199.246,194.006,205.601,204.608,232.737,69.394,205.62
June_2FN,97.142,184.878,203.635,194.607,198.209,230.372,66.009,200.391
July_1FN,118.467,190.915,192.909,187.545,195.271,231.916,68.759,201.967
July_2FN,150.606,115.703,116.736,185.466,195.67,231.882,65.468,206.904
Aug_1FN,173.495,138.085,158.467,102.37,200.035,229.989,69.943,205.781
Aug_2FN,170.477,148.21,159.803,117.844,90.025,229.772,69.331,204.185
Sep_1FN,193.974,183.281,168.853,162.588,160.762,230.083,68.585,205.057
Sep_2FN,187.912,177.327,181.31,177.376,170.579,228.047,66.721,199.099
Oct_1FN,204.917,193.196,182.97,173.875,176.686,231.013,67.708,202.25
Oct_2FN,193.009,193.685,190.392,186.614,185.367,231.615,66.287,200.703
